feature,manual_encoding_decision,manual_risk_level,manual_review_needed,manual_decision_reason,next_step_use,drop_now
CODE_GENDER,map_F_M_to_binary_and_handle_XNA_as_unknown_or_missing,low,no,gender_is_binary_like; XNA_is_tiny_train_only_noise; no_real_distribution_shift,use_as_binary_or_two_dummies_with_unknown_safe_handling,no
FONDKAPREMONT_MODE,missing_as_category_then_one_hot,medium,yes,property_related_low_cardinality_feature_with_very_high_missingness; missingness_may_be_informative,validate_missing_category_and_each_level_with_target_later,no
HOUSETYPE_MODE,missing_as_category_then_one_hot_with_low_information_validation_later,high,yes,house_type_has_high_missingness_and_nonmissing_values_are_strongly_dominated_by_block_of_flats,validate_whether_missing_or_minority_house_types_have_target_signal,no
NAME_FAMILY_STATUS,one_hot_unknown_safe; keep_tiny_unknown_as_unknown_or_rare,low,no,family_status_categories_are_meaningful_low_cardinality; tiny_unknown_is_not_a_real_risk,standard_one_hot_with_unknown_safe_encoder,no
NAME_HOUSING_TYPE,one_hot_with_optional_rare_grouping,low,no,housing_type_categories_are_meaningful_low_cardinality; dominance_is_expected_not_a_problem_by_itself,standard_one_hot; optionally_group_office_and_coop_if_needed_later,no
NAME_INCOME_TYPE,one_hot_with_rare_grouping_for_ultra_rare_income_types,low,no,income_type_is_core_business_feature; rare_levels_are_real_but_very_small,one_hot_or_rare_group_then_one_hot; validate_rare_income_levels_later,no
NAME_TYPE_SUITE,missing_as_category_then_one_hot_with_optional_rare_grouping,low,no,accompanied_by_feature_is_low_cardinality; missing_and_rare_mass_are_small,standard_one_hot_with_missing_category,no
OCCUPATION_TYPE,missing_as_category_then_rare_group_then_one_hot,medium,yes,occupation_is_meaningful_medium_cardinality_feature_with_material_missingness_and_some_rare_jobs,validate_missing_occupation_and_rare_job_groups_with_target_later,no
ORGANIZATION_TYPE,rare_grouping_then_one_hot_primary; frequency_or_target_encoding_candidate_later_secondary,high,yes,organization_type_is_high_cardinality_with_visible_rare_mass; compact_encoding_should_not_be_primary_without_target_validation,rare_grouping_threshold_design_then_compare_one_hot_vs_frequency_or_target_encoding_later,no
WALLSMATERIAL_MODE,missing_as_category_then_one_hot,medium,yes,wall_material_is_property_related_low_cardinality_feature_with_very_high_missingness,validate_missing_wall_material_and_material_levels_with_target_later,no
