feature,feature_category,categorical_family,dtype_train,dtype_test,missing_pct_train,missing_pct_test,n_unique_train,n_unique_test,zero_pct_train,one_pct_train,zero_pct_test,one_pct_test,one_pct_gap,top_value_train,top_value_pct_train,top_value_test,top_value_pct_test,constant_train,constant_test,sample_values
FLAG_CONT_MOBILE,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,0.18665998939875322,99.81334001060125,0.16001969473165928,99.83998030526834,0.026640294667089393,1.0,99.81334001060125,1.0,99.83998030526834,False,False,1 | 0
FLAG_DOCUMENT_10,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.99772365866588,0.0022763413341311367,100.0,0.0,0.0022763413341311367,0.0,99.99772365866588,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_11,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,99.60879448214861,0.3912055178513939,99.88306253077302,0.11693746922698178,0.2742680486244121,0.0,99.60879448214861,0.0,99.88306253077302,False,False,0 | 1
FLAG_DOCUMENT_12,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.99934961676168,0.0006503832383231819,100.0,0.0,0.0006503832383231819,0.0,99.99934961676168,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_13,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.64749228482883,0.3525077151711646,100.0,0.0,0.3525077151711646,0.0,99.64749228482883,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_14,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.70635196789709,0.2936480321029166,100.0,0.0,0.2936480321029166,0.0,99.70635196789709,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_15,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.87902871767189,0.12097128232811183,100.0,0.0,0.12097128232811183,0.0,99.87902871767189,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_16,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.00718998669966,0.9928100133003372,100.0,0.0,0.9928100133003372,0.0,99.00718998669966,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_17,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.97333428722875,0.026665712771250457,100.0,0.0,0.026665712771250457,0.0,99.97333428722875,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_18,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,99.18702095209603,0.8129790479039775,99.84408337436402,0.1559166256359757,0.6570624222680017,0.0,99.18702095209603,0.0,99.84408337436402,False,False,0 | 1
FLAG_DOCUMENT_19,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.94048993369343,0.05951006630657115,100.0,0.0,0.05951006630657115,0.0,99.94048993369343,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_2,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.99577250895089,0.004227491049100683,100.0,0.0,0.004227491049100683,0.0,99.99577250895089,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_20,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.9492701074108,0.05072989258920819,100.0,0.0,0.05072989258920819,0.0,99.9492701074108,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_21,binary_flag,binary_flag,int8,int8,0.0,0.0,2,1,99.96650526322635,0.03349473677364387,100.0,0.0,0.03349473677364387,0.0,99.96650526322635,0.0,100.0,False,True,0 | 1
FLAG_DOCUMENT_3,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,28.997661872258227,71.00233812774177,21.338010832102412,78.66198916789759,7.659651040155822,1.0,71.00233812774177,1.0,78.66198916789759,False,False,1 | 0
FLAG_DOCUMENT_4,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,99.99187020952095,0.008129790479039774,99.98974232726079,0.010257672739208929,0.0021278822601691547,0.0,99.99187020952095,0.0,99.98974232726079,False,False,0 | 1
FLAG_DOCUMENT_5,binary_flag,binary_flag,int8,int8,0.0,0.0,2,2,98.48850935413692,1.5114906458630748,98.52494666010175,1.475053339898244,0.03643730596483086,0.0,98.48850935413692,0.0,98.52494666010175,False,False,0 | 1
