feature,feature_category,categorical_family,train_present,test_present,dtype_train,dtype_test
FLAG_CONT_MOBILE,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_10,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_11,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_12,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_13,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_14,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_15,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_16,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_17,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_18,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_19,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_2,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_20,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_21,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_3,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_4,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_5,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_6,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_7,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_8,binary_flag,binary_flag,True,True,int8,int8
FLAG_DOCUMENT_9,binary_flag,binary_flag,True,True,int8,int8
FLAG_EMAIL,binary_flag,binary_flag,True,True,int8,int8
FLAG_EMP_PHONE,binary_flag,binary_flag,True,True,int8,int8
FLAG_MOBIL,binary_flag,binary_flag,True,True,int8,int8
FLAG_PHONE,binary_flag,binary_flag,True,True,int8,int8
FLAG_WORK_PHONE,binary_flag,binary_flag,True,True,int8,int8
LIVE_CITY_NOT_WORK_CITY,binary_flag,binary_flag,True,True,int8,int8
LIVE_REGION_NOT_WORK_REGION,binary_flag,binary_flag,True,True,int8,int8
REG_CITY_NOT_LIVE_CITY,binary_flag,binary_flag,True,True,int8,int8
