feature,feature_category,model_feature_role,universal_role,universal_dtype_train,universal_dtype_test,universal_missing_pct_train,universal_missing_pct_test,universal_missing_gap_pct,universal_n_unique_train,universal_n_unique_test,universal_basic_review_flag,universal_basic_review_reason,numeric_numeric_family,numeric_missing_band,numeric_skew_band,numeric_zero_band,numeric_outlier_band,numeric_section_review_flag,numeric_section_review_reason,binary_categorical_family,binary_missing_pct_train,binary_n_unique_train,binary_zero_pct_train,binary_one_pct_train,binary_one_pct_gap,binary_constant_train,binary_constant_test,cat_binary_categorical_family,cat_binary_missing_pct_train,cat_binary_n_unique_train,cat_binary_top_category_train,cat_binary_top_category_pct_train,cat_binary_minority_category_pct_train,cat_binary_test_only_category_count,nominal_categorical_family,nominal_missing_pct_train,nominal_n_unique_train,nominal_top_category_pct_train,nominal_rare_lt_1_mass_pct,nominal_category_overlap_pct,nominal_jensen_shannon_distance,ordinal_categorical_family,ordinal_missing_pct_train,ordinal_n_unique_train,ordinal_all_levels_numeric_like,ordinal_top_level_pct_train,ordinal_level_overlap_pct,ordinal_jensen_shannon_distance,special_case_type,special_case_reason,special_next_action,special_validation_stage,univariate_status,drop_now,next_stage
AMT_ANNUITY,continuous_amount_numeric,candidate_predictor,feature,float32,float32,0.003902299429939092,0.04923682914820286,0.04533452971826377,13672,7491.0,False,,continuous,low,high,none,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
AMT_CREDIT,continuous_amount_numeric,candidate_predictor,feature,float32,float32,0.0,0.0,0.0,5603,2937.0,False,,continuous,none,high,none,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
AMT_GOODS_PRICE,continuous_amount_numeric,candidate_predictor,feature,float32,float32,0.09040327012692229,0.0,0.09040327012692229,1002,677.0,False,,continuous,low,high,none,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
AMT_INCOME_TOTAL,continuous_amount_numeric,candidate_predictor,feature,float64,float64,0.0,0.0,0.0,2548,606.0,False,,continuous,none,extreme,none,moderate,True,extreme_skew;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_DAY,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,9,3.0,False,,discrete_count,moderate,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_HOUR,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,5,3.0,False,,discrete_count,moderate,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cyclical_or_calendar_time | structured_missing_or_history_availability, | possible_absence_of_history_or_unknown_record,cyclical_or_calendar_encoding_candidate_later | structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_MON,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,24,7.0,False,,discrete_count,moderate,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_QRT,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,11,8.0,False,,discrete_count,moderate,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_WEEK,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,9,3.0,False,,discrete_count,moderate,extreme,extreme,low,True,zero_heavy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
AMT_REQ_CREDIT_BUREAU_YEAR,discrete_count_numeric,candidate_predictor,feature,float32,float32,13.501630835970097,12.409732479894961,1.091898356075136,25,16.0,False,,discrete_count,moderate,high,moderate,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,special_case_review,no,relationship_analysis
APARTMENTS_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.74972927797705,49.00500574429673,1.7447235336803217,2339,1543.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
APARTMENTS_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.74972927797705,49.00500574429673,1.7447235336803217,1148,918.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
APARTMENTS_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,50.74972927797705,49.00500574429673,1.7447235336803217,760,636.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
BASEMENTAREA_AVG,property_normalized_numeric,candidate_predictor,feature,float32,float32,58.51595552679416,56.7064664368948,1.8094890898993583,3780,2816.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
BASEMENTAREA_MEDI,property_normalized_numeric,candidate_predictor,feature,float32,float32,58.51595552679416,56.7064664368948,1.8094890898993583,3772,2805.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
BASEMENTAREA_MODE,property_normalized_numeric,candidate_predictor,feature,float32,float32,58.51595552679416,56.7064664368948,1.8094890898993583,3841,2835.0,False,,continuous,very_high,very_high,low,high,True,high_missing;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,numeric_review_candidate,no,relationship_analysis
CNT_CHILDREN,discrete_count_numeric,candidate_predictor,feature,int8,int8,0.0,0.0,0.0,15,11.0,False,,discrete_count,none,high,high,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
CNT_FAM_MEMBERS,discrete_count_numeric,candidate_predictor,feature,float32,float32,0.0006503832383231819,0.0,0.0006503832383231819,17,12.0,False,,discrete_count,low,moderate,none,moderate,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,standard_univariate_profile,no,relationship_analysis
