feature,feature_category,model_feature_role,univariate_status,drop_now,next_stage,special_case_type,special_case_reason,special_next_action,special_validation_stage,numeric_section_review_flag,numeric_section_review_reason,universal_basic_review_flag,universal_basic_review_reason
AMT_ANNUITY,continuous_amount_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
AMT_CREDIT,continuous_amount_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
AMT_GOODS_PRICE,continuous_amount_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
AMT_INCOME_TOTAL,continuous_amount_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,extreme_skew;,False,
AMT_REQ_CREDIT_BUREAU_DAY,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,zero_heavy;,False,
AMT_REQ_CREDIT_BUREAU_HOUR,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,cyclical_or_calendar_time | structured_missing_or_history_availability, | possible_absence_of_history_or_unknown_record,cyclical_or_calendar_encoding_candidate_later | structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,zero_heavy;,False,
AMT_REQ_CREDIT_BUREAU_MON,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,zero_heavy;,False,
AMT_REQ_CREDIT_BUREAU_QRT,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,zero_heavy;,False,
AMT_REQ_CREDIT_BUREAU_WEEK,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,True,zero_heavy;,False,
AMT_REQ_CREDIT_BUREAU_YEAR,discrete_count_numeric,candidate_predictor,special_case_review,no,relationship_analysis,structured_missing_or_history_availability,possible_absence_of_history_or_unknown_record,structured_missing_handling_candidate_later,feature_engineering_and_modeling,False,,False,
APARTMENTS_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
APARTMENTS_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
APARTMENTS_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
BASEMENTAREA_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
BASEMENTAREA_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
BASEMENTAREA_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
CNT_CHILDREN,discrete_count_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
CNT_FAM_MEMBERS,discrete_count_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
CODE_GENDER,categorical_nominal,candidate_predictor,special_case_review,no,relationship_analysis,sentinel_or_special_label | special_categorical_label,placeholder_or_special_value_candidate | unknown_or_special_category_candidate,handle_as_special_value_candidate_later | unknown_safe_or_special_label_encoding_candidate_later,feature_engineering,,,False,
COMMONAREA_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
COMMONAREA_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
COMMONAREA_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing; extreme_skew;,False,
DAYS_BIRTH,date_duration_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
DAYS_EMPLOYED,date_duration_numeric,candidate_predictor,special_case_review,no,relationship_analysis,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,True,large_abs_duration_gt_100_years; marker_365243_review;,False,
DAYS_ID_PUBLISH,date_duration_numeric,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,False,,False,
DAYS_LAST_PHONE_CHANGE,date_duration_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,zero_special_value_review;,False,
DAYS_REGISTRATION,ratio_rate_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,negative_ratio_value;,False,
DEF_30_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,zero_heavy;,False,
DEF_60_CNT_SOCIAL_CIRCLE,discrete_count_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,zero_heavy;,False,
ELEVATORS_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
ELEVATORS_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
ELEVATORS_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
EMERGENCYSTATE_MODE,categorical_binary,candidate_predictor,standard_univariate_profile,no,relationship_analysis,,,,,,,False,
ENTRANCES_AVG,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
ENTRANCES_MEDI,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
ENTRANCES_MODE,property_normalized_numeric,candidate_predictor,numeric_review_candidate,no,relationship_analysis,,,,,True,high_missing;,False,
EXT_SOURCE_1,score_index_numeric,candidate_predictor,special_case_review,no,relationship_analysis,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,True,high_missing;,False,
EXT_SOURCE_2,score_index_numeric,candidate_predictor,special_case_review,no,relationship_analysis,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,False,,False,
EXT_SOURCE_3,score_index_numeric,candidate_predictor,special_case_review,no,relationship_analysis,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,False,,False,
FLAG_CONT_MOBILE,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_10,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_11,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,near_constant_binary_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,False,
FLAG_DOCUMENT_12,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_13,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
FLAG_DOCUMENT_14,binary_flag,candidate_predictor,special_case_review,no,relationship_analysis,rare_or_near_constant_binary_flag,test_constant_flag,keep_as_binary_candidate_and_validate_predictive_value_later,bivariate_multivariate_and_modeling,,,True,constant;
