feature_category,univariate_status,feature_count
binary_flag,special_case_review,150
binary_flag,standard_univariate_profile,20
categorical_binary,standard_univariate_profile,4
categorical_nominal,standard_univariate_profile,7
categorical_nominal,special_case_review,3
categorical_ordinal,standard_univariate_profile,2
categorical_ordinal,special_case_review,1
continuous_amount_numeric,special_case_review,392
continuous_amount_numeric,numeric_review_candidate,38
continuous_amount_numeric,standard_univariate_profile,17
continuous_stat_numeric,special_case_review,66
continuous_stat_numeric,numeric_review_candidate,45
continuous_stat_numeric,standard_univariate_profile,4
cyclical_time,special_case_review,3
date_duration_numeric,special_case_review,60
date_duration_numeric,numeric_review_candidate,17
date_duration_numeric,standard_univariate_profile,14
discrete_count_numeric,special_case_review,463
discrete_count_numeric,numeric_review_candidate,80
discrete_count_numeric,standard_univariate_profile,57
id,technical_role,1
overdue_delay_numeric,special_case_review,102
overdue_delay_numeric,numeric_review_candidate,42
property_normalized_numeric,numeric_review_candidate,39
property_normalized_numeric,standard_univariate_profile,4
ratio_rate_numeric,special_case_review,780
ratio_rate_numeric,numeric_review_candidate,107
ratio_rate_numeric,standard_univariate_profile,46
score_index_numeric,special_case_review,3
target,technical_role,1
