feature,special_case_type,feature_category,n_unique_train,min_train,max_train,sample_values,recommended_next_action,validation_stage,drop_now
AMT_REQ_CREDIT_BUREAU_HOUR,cyclical_or_calendar_time,discrete_count_numeric,5,0.0,4.0,0.0 | 1.0 | 2.0 | 3.0 | 4.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
HOUR_APPR_PROCESS_START,cyclical_or_calendar_time,cyclical_time,24,0.0,23.0,10 | 11 | 9 | 17 | 16 | 14 | 8 | 15 | 7 | 13 | 6 | 12 | 19 | 3 | 18,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
WEEKDAY_APPR_PROCESS_START,cyclical_or_calendar_time,cyclical_time,7,,,WEDNESDAY | MONDAY | THURSDAY | SUNDAY | SATURDAY | FRIDAY | TUESDAY,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_max,cyclical_or_calendar_time,discrete_count_numeric,97,1.0,97.0,22.0 | 36.0 | 17.0 | 19.0 | 7.0 | 66.0 | 2.0 | 3.0 | 89.0 | 29.0 | 26.0 | 56.0 | 31.0 | 76.0 | 51.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_mean,cyclical_or_calendar_time,discrete_count_numeric,5673,1.0,97.0,13.75 | 36.0 | 17.0 | 19.0 | 7.0 | 52.625 | 2.0 | 3.0 | 67.0 | 29.0 | 13.0 | 41.2 | 31.0 | 43.0 | 17.166666,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_sum,cyclical_or_calendar_time,discrete_count_numeric,1102,0.0,2657.0,110.0 | 0.0 | 72.0 | 34.0 | 76.0 | 7.0 | 421.0 | 4.0 | 3.0 | 201.0 | 58.0 | 65.0 | 206.0 | 31.0 | 86.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_max,cyclical_or_calendar_time,date_duration_numeric,91,-92.0,0.0,0.0 | -2.0 | -37.0 | -9.0 | -12.0 | -1.0 | -4.0 | -70.0 | -6.0 | -25.0 | -19.0 | -45.0 | -57.0 | -5.0 | -40.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_mean,cyclical_or_calendar_time,date_duration_numeric,3958,-92.0,0.0,-15.5 | -28.5 | 0.0 | -16.75 | -7.75 | -61.0 | -14.5 | -8.6 | -2.6 | -0.5 | -20.61111 | -31.0 | -14.0 | -6.0 | -2.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_min,cyclical_or_calendar_time,date_duration_numeric,96,-95.0,0.0,-32.0 | -55.0 | 0.0 | -27.0 | -25.0 | -85.0 | -20.0 | -29.0 | -13.0 | -1.0 | -83.0 | -67.0 | -16.0 | -15.0 | -11.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_max,cyclical_or_calendar_time,date_duration_numeric,184,-92.5,0.0,-1.5 | -19.5 | -8.0 | -9.0 | -3.0 | -20.5 | -37.5 | -1.0 | -11.0 | -23.0 | -13.0 | -15.0 | -5.5 | -3.5 | -14.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_mean,cyclical_or_calendar_time,date_duration_numeric,7066,-92.5,0.0,-21.875 | -46.0 | -8.0 | -25.75 | -3.0 | -33.5625 | -61.5 | -1.0 | -33.0 | -28.5 | -14.6 | -22.7 | -15.0 | -21.5 | -28.694445,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_min,cyclical_or_calendar_time,date_duration_numeric,191,-95.0,0.0,-39.5 | -72.5 | -8.0 | -36.0 | -3.0 | -57.5 | -85.5 | -1.0 | -44.0 | -34.0 | -36.5 | -27.5 | -15.0 | -37.5 | -89.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_max,cyclical_or_calendar_time,date_duration_numeric,97,-96.0,0.0,-3.0 | -37.0 | -16.0 | -18.0 | -6.0 | -41.0 | -38.0 | -2.0 | -22.0 | -26.0 | -30.0 | -10.0 | -7.0 | -11.0 | -28.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_mean,cyclical_or_calendar_time,date_duration_numeric,5715,-96.0,0.0,-28.25 | -63.5 | -16.0 | -34.75 | -6.0 | -59.375 | -62.0 | -2.0 | -66.0 | -42.5 | -20.6 | -42.8 | -30.0 | -36.77778 | -13.5,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_min,cyclical_or_calendar_time,date_duration_numeric,97,-96.0,0.0,-47.0 | -90.0 | -16.0 | -45.0 | -6.0 | -86.0 | -2.0 | -88.0 | -48.0 | -44.0 | -55.0 | -30.0 | -75.0 | -95.0 | -74.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_max,cyclical_or_calendar_time,date_duration_numeric,97,0.0,96.0,21.0 | 35.0 | 16.0 | 18.0 | 6.0 | 65.0 | 1.0 | 2.0 | 88.0 | 28.0 | 25.0 | 55.0 | 30.0 | 75.0 | 50.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_mean,cyclical_or_calendar_time,date_duration_numeric,5673,0.0,96.0,12.75 | 35.0 | 16.0 | 18.0 | 6.0 | 51.625 | 1.0 | 2.0 | 66.0 | 28.0 | 12.0 | 40.2 | 30.0 | 42.0 | 16.166666,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_min,cyclical_or_calendar_time,date_duration_numeric,97,0.0,96.0,3.0 | 35.0 | 16.0 | 18.0 | 6.0 | 41.0 | 1.0 | 2.0 | 22.0 | 28.0 | 26.0 | 30.0 | 9.0 | 7.0 | 11.0,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
