feature,special_case_type,special_case_reason,recommended_next_action,validation_stage,drop_now
SK_ID_CURR,technical_identifier,"unique row identifier, not a model predictor",exclude_from_model_input,feature_engineering,exclude_from_model_input
TARGET,target_column,"supervised learning label, not an input feature",use_only_for_target_analysis,bivariate_and_modeling,exclude_from_model_input
DAYS_EMPLOYED,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,no
REGION_RATING_CLIENT_W_CITY,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,no
CODE_GENDER,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,no
ORGANIZATION_TYPE,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,no
NAME_FAMILY_STATUS,sentinel_or_special_label,placeholder_or_special_value_candidate,handle_as_special_value_candidate_later,feature_engineering,no
EXT_SOURCE_1,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,no
EXT_SOURCE_2,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,no
EXT_SOURCE_3,external_score,external_credit_score_style_feature,keep_as_strong_candidate_and_validate_missingness_signal,bivariate_and_modeling,no
AMT_REQ_CREDIT_BUREAU_HOUR,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
HOUR_APPR_PROCESS_START,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
WEEKDAY_APPR_PROCESS_START,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_count_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_max_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_mean_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_min_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
bureau_bal_month_span_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_latest_months_balance_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_count_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_max_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_mean_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_min,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_min_sum,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_record_count_max,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
cc_month_record_count_mean,cyclical_or_calendar_time,,cyclical_or_calendar_encoding_candidate_later,feature_engineering_and_modeling,no
