feature,feature_category,categorical_family,dtype_train,dtype_test,missing_count_train,missing_pct_train,missing_count_test,missing_pct_test,missing_gap_pct,n_unique_train,n_unique_test,n_unique_combined,unique_gap,top_category_train,top_category_pct_train,top_category_test,top_category_pct_test,top_category_same_train_test,top_category_pct_gap,second_category_train,second_category_pct_train,top_second_gap_train,rare_lt_1_count,rare_lt_1_mass_pct,rare_lt_05_count,rare_lt_05_mass_pct,single_count_category_count,low_count_lt_10_category_count,entropy_train,normalized_entropy_train,gini_impurity_train,herfindahl_index_train,effective_category_count_train,train_only_category_count,test_only_category_count,shared_category_count,category_overlap_pct,train_only_mass_pct,test_only_mass_pct,shared_mass_train_pct,shared_mass_test_pct,max_frequency_gap_pct,mean_frequency_gap_pct,sum_abs_frequency_gap_pct,jensen_shannon_distance,top_3_overlap_count,top_5_overlap_count,top_10_overlap_count,top_1_coverage_pct_train,top_3_coverage_pct_train,top_5_coverage_pct_train,top_10_coverage_pct_train,categories_to_cover_50_pct_train,categories_to_cover_80_pct_train,categories_to_cover_90_pct_train,categories_to_cover_95_pct_train,avg_category_length,max_category_length,sample_categories,top_categories_train,missing_route,cardinality_route,rare_label_route,dominance_route,category_support_route,distribution_shift_route,encoding_complexity_route,possible_encoding_route,route_modifiers,risk_score,risk_level,manual_check_needed,manual_check_reason,statistical_decision_summary
CODE_GENDER,categorical_nominal,nominal,category,category,0,0.0,0,0.0,0.0,3,2,3,1,F,65.83439291602576,F,67.04004595437387,True,1.2056530383481032,M,34.164306317497584,31.67008659852818,1,0.0013007664766463637,1,0.0013007664766463637,0,1,0.6422732076761885,0.5846222678383118,0.44986328815305376,0.5501367118469462,1.9007968779195554,1,0,2,66.66666666666666,0.0013007664766463637,0,99.99869923352335,100.0,1.2056530383481032,0.8037686922320688,2.4113060766962064,0.009267260453803789,2,2,2,65.83439291602576,100.0,100.0,100.0,1,2,2,2,1.6666666666666667,3.0,F | M | XNA,F: 65.83% | M: 34.16% | XNA: 0.00%,no_missing_issue,low_cardinality_nominal,tiny_rare_tail,balanced_or_moderate_dominance,weak_category_overlap,stable_distribution,simple_one_hot_space,one_hot_with_rare_grouping_candidate,rare_grouping_candidate | stability_validation_required,4,medium,True,weak_train_test_category_overlap,low_cardinality_nominal | tiny_rare_tail | balanced_or_moderate_dominance | weak_category_overlap | stable_distribution | route=one_hot_with_rare_grouping_candidate | risk=medium
FONDKAPREMONT_MODE,categorical_nominal,nominal,category,category,210295,68.38617155158677,32797,67.28417856556705,1.1019929860197237,4,4,4,0,reg oper account,75.94428900592494,reg oper account,76.02683890386906,True,0.08254989794411927,reg oper spec account,12.425938117182357,63.51835088874259,0,0.0,0,0.0,0,0,0.7989402923940293,0.5763135989016223,0.4010432774393696,0.5989567225606304,2.2231837550210614,0,0,4,100.0,0.0,0,100.0,100.0,0.12464533139378364,0.06772396274558812,0.27089585098235247,0.0019426535215221331,2,4,4,75.94428900592494,94.22008722843975,99.99999999999999,99.99999999999999,1,2,3,4,16.5,21.0,reg oper account | reg oper spec account | not specified | org spec account,reg oper account: 75.94% | reg oper spec account: 12.43% | not specified: 5.85% | org spec account: 5.78%,very_high_missing,low_cardinality_nominal,no_rare_label_issue,balanced_or_moderate_dominance,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_candidate_unknown_safe,missing_as_category_candidate,3,medium,True,high_missingness,low_cardinality_nominal | no_rare_label_issue | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=one_hot_candidate_unknown_safe | risk=medium
HOUSETYPE_MODE,categorical_nominal,nominal,category,category,154297,50.176091261776,23619,48.45519448547513,1.7208967763008687,3,3,3,0,block of flats,98.230579450964,block of flats,98.14527363184081,True,0.08530581912319235,specific housing,0.9783701228347279,97.25220932812927,2,1.7694205490359889,0,0.0,0,0,0.10108967281545614,0.09201578560350082,0.034917029185379866,0.9650829708146201,1.1063758491526003,0,0,3,100.0,0.0,0,100.0,100.00000000000001,0.08530581912319235,0.056870546082135896,0.17061163824640768,0.0024303474839753917,3,3,3,98.230579450964,100.0,100.0,100.0,1,1,1,1,14.666666666666666,16.0,block of flats | specific housing | terraced house,block of flats: 98.23% | specific housing: 0.98% | terraced house: 0.79%,very_high_missing,low_cardinality_nominal,low_rare_tail,extreme_dominance,stable_category_support,stable_distribution,simple_one_hot_space,low_information_candidate_validate_later,missing_as_category_candidate | rare_grouping_candidate | low_information_validation_required,9,high,True,high_missingness | dominant_category | low_effective_category_count,low_cardinality_nominal | low_rare_tail | extreme_dominance | stable_category_support | stable_distribution | route=low_information_candidate_validate_later | risk=high
NAME_FAMILY_STATUS,categorical_nominal,nominal,category,category,0,0.0,0,0.0,0.0,6,5,6,1,Married,63.87804013514964,Married,66.22968980797637,True,2.3516496728267313,Single / not married,14.77800794117934,49.1000321939703,1,0.0006503832383231819,1,0.0006503832383231819,0,1,1.1258009716796697,0.6283214856761434,0.553875106678664,0.4461248933213359,3.082685003710346,1,0,5,83.33333333333334,0.0006503832383231819,0,99.99934961676168,100.0,2.3516496728267313,0.7838832242755768,4.703299345653461,0.01978030333220353,3,5,5,63.87804013514964,88.33862853686534,99.99934961676168,100.0,1,3,4,5,10.333333333333334,20.0,Married | Single / not married | Civil marriage | Separated | Widow | Unknown,Married: 63.88% | Single / not married: 14.78% | Civil marriage: 9.68% | Separated: 6.43% | Widow: 5.23% | Unknown: 0.00%,no_missing_issue,low_cardinality_nominal,tiny_rare_tail,balanced_or_moderate_dominance,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_with_rare_grouping_candidate,rare_grouping_candidate,1,low,True,standard_nominal_profile,low_cardinality_nominal | tiny_rare_tail | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=one_hot_with_rare_grouping_candidate | risk=low
NAME_HOUSING_TYPE,categorical_nominal,nominal,category,category,0,0.0,0,0.0,0.0,6,6,6,0,House / apartment,88.73438673738501,House / apartment,89.53922534055474,True,0.8048386031697277,With parents,4.82584362835801,83.908543109027,2,1.2158914640451886,1,0.36486499669930506,0,0,0.4996677958451887,0.27886990660663896,0.20863180862788222,0.7913681913721178,1.6481736496099129,0,0,6,100.0,0.0,0,100.00000000000001,100.0,0.8048386031697277,0.26827953438990976,1.6096772063394587,0.011136733598874148,3,5,6,88.73438673738501,97.1968482428271,99.63513500330072,100.00000000000003,1,1,2,3,15.833333333333334,19.0,House / apartment | With parents | Municipal apartment | Rented apartment | Office apartment | Co-op apartment,House / apartment: 88.73% | With parents: 4.83% | Municipal apartment: 3.64% | Rented apartment: 1.59% | Office apartment: 0.85% | Co-op apartment: 0.36%,no_missing_issue,low_cardinality_nominal,low_rare_tail,top_category_overwhelming,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_with_rare_grouping_candidate,rare_grouping_candidate,1,low,True,standard_nominal_profile,low_cardinality_nominal | low_rare_tail | top_category_overwhelming | stable_category_support | stable_distribution | route=one_hot_with_rare_grouping_candidate | risk=low
NAME_INCOME_TYPE,categorical_nominal,nominal,category,category,0,0.0,0,0.0,0.0,8,7,8,1,Working,51.63197414076245,Working,50.330297062202526,True,1.3016770785599263,Commercial associate,23.28924818949566,28.342725951266793,4,0.017885539053887504,4,0.017885539053887504,0,1,1.178226065071942,0.5666069670418027,0.6417822559099278,0.3582177440900722,3.248606272301526,1,0,7,87.5,0.0016259580958079547,0,99.9983740419042,99.99999999999999,1.3016770785599263,0.32783911985561043,2.6227129588448834,0.011542512460043928,3,4,7,51.63197414076245,92.9244807502821,99.98926867656766,100.00000000000001,1,3,3,4,11.5,20.0,Working | Commercial associate | Pensioner | State servant | Unemployed | Student | Businessman | Maternity leave,Working: 51.63% | Commercial associate: 23.29% | Pensioner: 18.00% | State servant: 7.06% | Unemployed: 0.01% | Student: 0.01% | Businessman: 0.00% | Maternity leave: 0.00%,no_missing_issue,low_cardinality_nominal,tiny_rare_tail,balanced_or_moderate_dominance,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_with_rare_grouping_candidate,rare_grouping_candidate,1,low,True,standard_nominal_profile,low_cardinality_nominal | tiny_rare_tail | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=one_hot_with_rare_grouping_candidate | risk=low
NAME_TYPE_SUITE,categorical_nominal,nominal,category,category,1292,0.42014757195677555,911,1.8689479730838665,1.448800401127091,7,7,7,0,Unaccompanied,81.15956227405876,Unaccompanied,83.05354044279053,True,1.8939781687317776,Family,13.11120472602941,68.04835754802934,3,0.9493205842877157,2,0.3713028910681571,0,0,0.6591308446860438,0.3387262484889315,0.32258750233476297,0.677412497665237,1.9331114299525187,0,0,7,100.0,0.0,0,100.0,99.99999999999999,1.8939781687317776,0.5451197579509114,3.8158383056563796,0.020448340992759367,3,5,7,81.15956227405876,97.98379591076974,99.62869710893185,100.0,1,1,2,3,10.142857142857142,15.0,"Unaccompanied | Family | Spouse, partner | Children | Other_B | Other_A | Group of people","Unaccompanied: 81.16% | Family: 13.11% | Spouse, partner: 3.71% | Children: 1.07% | Other_B: 0.58% | Other_A: 0.28% | Group of people: 0.09%",low_missing,low_cardinality_nominal,tiny_rare_tail,balanced_or_moderate_dominance,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_with_rare_grouping_candidate,missing_as_category_candidate | rare_grouping_candidate,0,low,True,standard_nominal_profile,low_cardinality_nominal | tiny_rare_tail | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=one_hot_with_rare_grouping_candidate | risk=low
OCCUPATION_TYPE,categorical_nominal,nominal,category,category,96391,31.345545362604916,15605,32.014196619071065,0.6686512564661484,18,18,18,0,Laborers,26.13963622584312,Laborers,26.117263647062373,True,0.02237257878074672,Sales staff,15.205570291777187,10.934065934065933,6,3.1195528609321714,3,0.8715422508525956,0,0,2.288224988418452,0.791671514976329,0.8641316400855876,0.13586835991441232,9.857425099537673,0,0,18,100.0,0.0,0,100.0,100.0,0.662196780973126,0.1756520783313363,3.1617374099640534,0.017940906479313443,3,5,10,26.13963622584312,54.40413035240621,73.33838575217885,93.42032967032966,3,7,9,11,12.777777777777779,21.0,Laborers | Sales staff | Core staff | Managers | Drivers | High skill tech staff | Accountants | Medicine staff | Security staff | Cooking staff | Cleaning staff | Private service staff | Low-skill Laborers | Waiters/barmen staff | Secretaries | Realty agents | HR staff | IT staff,Laborers: 26.14% | Sales staff: 15.21% | Core staff: 13.06% | Managers: 10.12% | Drivers: 8.81% | High skill tech staff: 5.39% | Accountants: 4.65% | Medicine staff: 4.04% | Security staff: 3.18% | Cooking staff: 2.82% | Cleaning staff: 2.20% | Private service staff: 1.26% | Low-skill Laborers: 0.99% | Waiters/barmen staff: 0.64% | Secretaries: 0.62% | Realty agents: 0.36% | HR staff: 0.27% | IT staff: 0.25%,high_missing,medium_cardinality_nominal,low_rare_tail,balanced_or_moderate_dominance,stable_category_support,stable_distribution,moderate_one_hot_space,rare_group_then_one_hot_candidate,missing_as_category_candidate | rare_grouping_candidate,5,medium,True,standard_nominal_profile,medium_cardinality_nominal | low_rare_tail | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=rare_group_then_one_hot_candidate | risk=medium
ORGANIZATION_TYPE,categorical_nominal,nominal,category,category,0,0.0,0,0.0,0.0,58,58,58,0,Business Entity Type 3,22.110428570034895,Business Entity Type 3,22.238634498604956,True,0.1282059285700612,XNA,18.00716071945394,4.103267850580956,41,13.595611213907794,29,4.744220531948451,0,0,2.843498789266491,0.700292746845827,0.8920745092366078,0.10792549076339217,17.175754877728746,0,0,58,100.0,0.0,0,99.99999999999999,100.0,1.0187706772307799,0.08985627017897492,5.2116636703805455,0.02628939568319572,3,5,9,22.110428570034895,52.608849764723864,61.67389134047237,76.16475508193203,3,12,22,29,12.155172413793103,22.0,Business Entity Type 3 | XNA | Self-employed | Other | Medicine | Business Entity Type 2 | Government | School | Trade: type 7 | Kindergarten | Construction | Business Entity Type 1 | Transport: type 4 | Trade: type 3 | Industry: type 9 | Industry: type 3 | Security | Housing | Industry: type 11 | Military,Business Entity Type 3: 22.11% | XNA: 18.01% | Self-employed: 12.49% | Other: 5.43% | Medicine: 3.64% | Business Entity Type 2: 3.43% | Government: 3.38% | School: 2.89% | Trade: type 7: 2.55% | Kindergarten: 2.24% | Construction: 2.19% | Business Entity Type 1: 1.95% | Transport: type 4: 1.76% | Trade: type 3: 1.14% | Industry: type 9: 1.10% | Industry: type 3: 1.07% | Security: 1.06% | Housing: 0.96% | Industry: type 11: 0.88% | Military: 0.86%,no_missing_issue,high_cardinality_nominal,moderate_rare_tail,balanced_or_moderate_dominance,stable_category_support,stable_distribution,high_encoding_space,rare_grouping_plus_compact_encoding_candidate_later,rare_grouping_candidate | compact_encoding_candidate_later,5,medium,True,high_cardinality | visible_rare_label_mass,high_cardinality_nominal | moderate_rare_tail | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=rare_grouping_plus_compact_encoding_candidate_later | risk=medium
WALLSMATERIAL_MODE,categorical_nominal,nominal,category,category,156341,50.8407829313423,23893,49.017314951583785,1.8234679797585116,7,7,7,0,Panel,43.685916517827614,Panel,45.34626373184178,True,1.6603472140141662,"Stone, brick",42.87557054971224,0.8103459681153709,0,0.0,0,0.0,0,0,1.1789055169117733,0.6058375909515143,0.6198331998745215,0.3801668001254785,3.2508142938473337,0,0,7,100.0,0.0,0,100.0,100.0,1.6603472140141662,0.49377418150874525,3.456419270561217,0.01377948902603441,3,5,7,43.685916517827614,92.68241053119006,97.7482304690084,100.0,2,2,3,4,7.0,12.0,"Panel | Stone, brick | Block | Wooden | Mixed | Monolithic | Others","Panel: 43.69% | Stone, brick: 42.88% | Block: 6.12% | Wooden: 3.55% | Mixed: 1.52% | Monolithic: 1.18% | Others: 1.07%",very_high_missing,low_cardinality_nominal,no_rare_label_issue,balanced_or_moderate_dominance,stable_category_support,stable_distribution,simple_one_hot_space,one_hot_candidate_unknown_safe,missing_as_category_candidate,3,medium,True,high_missingness,low_cardinality_nominal | no_rare_label_issue | balanced_or_moderate_dominance | stable_category_support | stable_distribution | route=one_hot_candidate_unknown_safe | risk=medium
