income_bin,burden_bin,default_rate,applicant_count,median_income,median_burden,default_rate_pct
1,1,0.053267045454545456,4224,81000.0,1.1985882352941177,5.326704545454546
1,2,0.0633385951065509,5068,85500.0,1.8951111111111112,6.33385951065509
1,3,0.07863135384109228,6079,81000.0,2.5,7.863135384109228
1,4,0.07429168298733516,7659,87403.5,3.0,7.429168298733516
1,5,0.08771135265700483,6624,76500.0,3.6212,8.771135265700483
1,6,0.10385380857608105,5527,76500.0,4.585285714285714,10.385380857608105
1,7,0.10010649627263046,6573,81000.0,5.9,10.010649627263046
1,8,0.08236895847515316,10283,81000.0,8.5588,8.236895847515315
2,1,0.06961355214399154,3778,112500.0,1.2,6.961355214399154
2,2,0.08500417710944026,4788,112500.0,1.8,8.500417710944026
2,3,0.08480406820221358,6686,112500.0,2.4,8.480406820221358
2,4,0.09690177982860909,4551,112500.0,2.94964,9.69017798286091
2,5,0.11572052401746726,3206,112500.0,3.7585547826086954,11.572052401746726
2,6,0.09948032665181886,5388,112500.0,4.6336,9.948032665181886
2,7,0.09274423919253476,5251,112500.0,5.7952,9.274423919253476
2,8,0.07372671616516868,7677,112500.0,8.0,7.372671616516868
3,1,0.07519939232814281,5266,135000.0,1.2436666666666667,7.519939232814281
3,2,0.07392941832891617,7169,135000.0,1.8866666666666667,7.3929418328916165
3,3,0.09838768779772811,5458,135000.0,2.3266666666666667,9.83876877977281
3,4,0.0986642380085003,3294,135000.0,3.0,9.86642380085003
3,5,0.10825845100556268,7011,135000.0,3.6853333333333333,10.825845100556268
3,6,0.09420413745939477,5849,135000.0,4.580535714285714,9.420413745939477
3,7,0.07413971348397579,6771,135000.0,5.9078333333333335,7.413971348397578
3,8,0.06972424632090299,6999,135000.0,8.269892857142857,6.9724246320902985
4,1,0.07082630691399663,593,144000.0,1.1659375,7.082630691399664
4,2,0.08468244084682441,803,144000.0,1.8181818181818181,8.468244084682441
4,3,0.13291139240506328,474,144000.0,2.3454643602012024,13.291139240506327
4,4,0.08957654723127036,614,144000.0,3.0885795454545457,8.957654723127035
4,5,0.10663198959687907,769,144000.0,3.6314375,10.663198959687907
4,6,0.09717868338557993,638,144000.0,4.584506048387097,9.717868338557993
4,7,0.08820286659316427,907,144000.0,5.6632727272727275,8.820286659316427
4,8,0.07411385606874328,931,144000.0,8.0521875,7.411385606874328
5,1,0.07646989513373395,8487,171000.0,1.25,7.646989513373395
5,2,0.08502244592572439,7351,157500.0,1.75,8.502244592572438
5,3,0.1013189448441247,5004,175500.0,2.455135135135135,10.13189448441247
5,4,0.10479294941446336,8283,166500.0,2.93715,10.479294941446335
5,5,0.10627400768245839,7029,157500.0,3.594,10.627400768245838
5,6,0.08111702127659574,8272,166500.0,4.4925,8.111702127659575
5,7,0.07470896763464245,7817,162000.0,5.742857142857143,7.470896763464245
5,8,0.062012078362056265,6789,157500.0,7.765142857142857,6.201207836205627
6,1,0.07629338572364112,3054,202500.0,1.2577777777777779,7.629338572364112
6,2,0.09280885064535956,1627,202500.0,1.7700888888888888,9.280885064535955
6,3,0.09666322669418645,2907,202500.0,2.416267942583732,9.666322669418644
6,4,0.09991742361684558,2422,202500.0,2.888888888888889,9.991742361684558
6,5,0.08752957080094627,2959,202500.0,3.658536585365854,8.752957080094626
6,6,0.06455542021924482,2463,202500.0,4.444444444444445,6.455542021924482
6,7,0.0658682634730539,3006,202500.0,5.731411111111111,6.58682634730539
6,8,0.051181102362204724,1270,202500.0,7.7092,5.118110236220472
7,1,0.07857717041800644,4976,225000.0,1.18156,7.857717041800644
7,2,0.08965912346032655,3491,225000.0,1.9423076923076923,8.965912346032654
7,3,0.10332434860736747,4452,225000.0,2.3679570075757574,10.332434860736747
7,4,0.07849409448818898,4064,225000.0,3.0,7.849409448818897
7,5,0.07444286391654813,4218,225000.0,3.6296,7.4442863916548125
7,6,0.061459353574926545,4084,225000.0,4.5544,6.145935357492655
7,7,0.05418994413407821,3580,225000.0,5.726,5.418994413407821
7,8,0.04510022271714922,1796,225000.0,7.63394,4.510022271714922
8,1,0.07468879668049792,6025,315000.0,1.1351724137931034,7.468879668049793
8,2,0.08229988726042842,6209,315000.0,1.8333333333333333,8.229988726042842
8,3,0.07063535408701985,5493,315000.0,2.396,7.063535408701985
8,4,0.061052631578947365,5225,315000.0,2.9346133333333335,6.105263157894736
8,5,0.0611730081984444,4757,306000.0,3.6237333333333335,6.11730081984444
8,6,0.04887780548628429,4010,292500.0,4.508003781512605,4.887780548628429
8,7,0.03908138597904915,2482,292500.0,5.714285714285714,3.908138597904915
8,8,0.03134796238244514,638,270000.0,7.419592433795712,3.1347962382445136
