contract_pressure_bin,default_rate,applicant_count,median_annuity_ratio,default_rate_pct,NAME_CONTRACT_TYPE
1,0.07868296816366058,33044,0.08018,7.868296816366057,Cash loans
2,0.07901107547055619,33046,0.11155437352245863,7.901107547055619,Cash loans
3,0.08220669630705017,33063,0.13603333333333334,8.220669630705018,Cash loans
4,0.08610614914166338,33029,0.15970833333333334,8.610614914166339,Cash loans
5,0.08550601899461617,33062,0.18473333333333333,8.550601899461617,Cash loans
6,0.08795833711811549,33027,0.21418571428571428,8.795833711811548,Cash loans
7,0.08845608851638578,33169,0.2535142857142857,8.845608851638579,Cash loans
8,0.08550332715505454,32911,0.32366666666666666,8.550332715505455,Cash loans
1,0.059836544074722706,3426,0.05625,5.983654407472271,Revolving loans
2,0.06196581196581197,3276,0.07142857142857142,6.196581196581197,Revolving loans
3,0.07066934788853778,3481,0.08571428571428572,7.066934788853778,Revolving loans
4,0.056797020484171325,3222,0.1,5.679702048417132,Revolving loans
5,0.061701081612586035,4068,0.11764705882352941,6.170108161258604,Revolving loans
6,0.05217391304347826,2645,0.1357142857142857,5.217391304347826,Revolving loans
7,0.04183991683991684,3848,0.15,4.183991683991684,Revolving loans
8,0.040621688449311195,2831,0.175,4.0621688449311195,Revolving loans
