burden_bin,default_rate,applicant_count,median_ratio,default_rate_pct,measure
1,0.07319332921556516,29142,1.132,7.319332921556517,Credit-to-Income
2,0.07907646917561495,29149,1.6666666666666667,7.907646917561495,Credit-to-Income
3,0.08288034129223147,29066,2.1056,8.288034129223147,Credit-to-Income
4,0.09091220029414783,29237,2.542111111111111,9.091220029414783,Credit-to-Income
5,0.08588681849551415,28980,3.0,8.588681849551415,Credit-to-Income
6,0.09303282906246783,29151,3.558764705882353,9.303282906246784,Credit-to-Income
7,0.0872314830726929,29095,4.239766666666666,8.723148307269291,Credit-to-Income
8,0.07927017833213071,29103,5.056,7.927017833213071,Credit-to-Income
9,0.07563948497854077,29125,6.265066666666667,7.563948497854077,Credit-to-Income
10,0.06876288659793814,29100,8.5072,6.876288659793814,Credit-to-Income
1,0.07583719732096857,29115,0.07083333333333333,7.583719732096856,Annuity-to-Income
2,0.0720934226343809,29115,0.09783,7.20934226343809,Annuity-to-Income
3,0.07896002198104135,29116,0.11772,7.896002198104135,Annuity-to-Income
4,0.0789681585545976,29113,0.13636363636363635,7.89681585545976,Annuity-to-Income
5,0.08017847949201991,29135,0.1532,8.017847949201991,Annuity-to-Income
6,0.08291811277962957,29101,0.174075,8.291811277962957,Annuity-to-Income
7,0.08580654025831272,29112,0.19685208333333332,8.580654025831272,Annuity-to-Income
8,0.0885171572836877,29113,0.22533333333333333,8.85171572836877,Annuity-to-Income
9,0.08779583004156219,29113,0.2636222222222222,8.779583004156219,Annuity-to-Income
10,0.08483599519148205,29115,0.33016666666666666,8.483599519148205,Annuity-to-Income
