income_bin,annuity_burden_bin,default_rate,applicant_count,default_count,median_annuity_ratio,default_rate_pct
1,1,0.06258092360811394,2317,145,0.0774,6.2580923608113945
1,2,0.06765281705460083,4597,311,0.1038,6.765281705460083
1,3,0.06696333969061241,4719,316,0.13223529411764706,6.696333969061241
1,4,0.06620463250045595,5483,363,0.15,6.620463250045596
1,5,0.07619215203237727,5683,433,0.1779,7.619215203237727
1,6,0.08733488733488734,6435,562,0.20825,8.733488733488734
1,7,0.08911121451838064,8596,766,0.24893333333333334,8.911121451838063
1,8,0.09551629478426128,14207,1357,0.32666666666666666,9.551629478426129
2,1,0.08540925266903915,3934,336,0.08,8.540925266903916
2,2,0.06926406926406926,3465,240,0.10488,6.926406926406926
2,3,0.07920353982300884,4520,358,0.12768,7.920353982300885
2,4,0.08066637439719421,4562,368,0.1502704347826087,8.06663743971942
2,5,0.08993135011441647,4370,393,0.17704545454545453,8.993135011441646
2,6,0.08521796132415602,6102,520,0.20844,8.521796132415602
2,7,0.104387926215763,7156,747,0.24604,10.4387926215763
2,8,0.09368070953436806,7216,676,0.3182440476190476,9.368070953436806
3,1,0.07513972262471538,4831,363,0.07206666666666667,7.513972262471539
3,2,0.06525911708253358,5210,340,0.1033397435897436,6.525911708253358
3,3,0.090020366598778,4910,442,0.12822649572649572,9.0020366598778
3,4,0.0876298050646748,5489,481,0.15146666666666667,8.76298050646748
3,5,0.08316237967492504,6337,527,0.1774,8.316237967492505
3,6,0.09294085581902425,7338,682,0.20546666666666666,9.294085581902426
3,7,0.09764216366158114,7210,704,0.24501666666666666,9.764216366158115
3,8,0.08456561922365989,6492,549,0.3165833333333333,8.456561922365989
4,1,0.06987577639751552,644,45,0.07239818548387097,6.987577639751552
4,2,0.0853462157809984,621,53,0.105125,8.53462157809984
4,3,0.10689655172413794,580,62,0.13016998106060607,10.689655172413794
4,4,0.07774390243902439,656,51,0.15303125,7.774390243902439
4,5,0.09655172413793103,870,84,0.17734375,9.655172413793103
4,6,0.10110974106041924,811,82,0.20915151515151514,10.110974106041924
4,7,0.10463733650416171,841,88,0.24734375,10.46373365041617
4,8,0.07932011331444759,706,56,0.314985321969697,7.932011331444759
5,1,0.06955736224028906,7749,539,0.075,6.9557362240289065
5,2,0.08907916478894397,6657,593,0.10526315789473684,8.907916478894396
5,3,0.08755513968720759,7481,655,0.13045714285714285,8.75551396872076
5,4,0.0858379418129358,8318,714,0.15094285714285716,8.58379418129358
5,5,0.09538461538461539,8775,837,0.175725,9.538461538461538
5,6,0.09866666666666667,7875,777,0.20595,9.866666666666667
5,7,0.08498785887730324,7001,595,0.24642857142857144,8.498785887730325
5,8,0.06993817619783617,5176,362,0.3077142857142857,6.993817619783617
6,1,0.08021201413427562,2830,227,0.07304444444444444,8.021201413427562
6,2,0.0748102638236357,2767,207,0.10661363636363637,7.48102638236357
6,3,0.08641182139415354,3113,269,0.12946666666666667,8.641182139415355
6,4,0.08842866535174228,3042,269,0.15186666666666668,8.842866535174227
6,5,0.09230207953301715,2741,253,0.17746666666666666,9.230207953301715
6,6,0.07314974182444062,2324,170,0.2066181818181818,7.314974182444062
6,7,0.06456532791052363,1967,127,0.24595555555555557,6.456532791052363
6,8,0.07142857142857142,924,66,0.30865476190476193,7.142857142857142
7,1,0.08127835865062143,5069,412,0.0725,8.127835865062142
7,2,0.07952815829528158,5256,418,0.1054909090909091,7.9528158295281575
7,3,0.0892498997192138,4986,445,0.12968,8.924989971921379
7,4,0.0779848171152519,4347,339,0.15164,7.7984817115251905
7,5,0.07362419434804164,4034,297,0.17602,7.362419434804164
7,6,0.06055261610817166,3402,206,0.20699,6.055261610817166
7,7,0.06710580485796624,2429,163,0.2423,6.7105804857966245
7,8,0.037785588752196834,1138,43,0.3045,3.7785588752196833
8,1,0.07272727272727272,9020,656,0.07489230769230769,7.2727272727272725
8,2,0.07246932515337423,7824,567,0.1046375,7.2469325153374236
8,3,0.063247583155825,6103,386,0.12872,6.3247583155825
8,4,0.06030262572318647,4494,271,0.15,6.030262572318647
8,5,0.05698324022346369,3580,204,0.17534642857142857,5.698324022346369
8,6,0.06095238095238095,2100,128,0.2042940677966102,6.095238095238095
8,7,0.04057480980557904,1183,48,0.2443857142857143,4.057480980557903
8,8,0.022429906542056073,535,12,0.3077142857142857,2.2429906542056073
