feature,feature_category,role,universal_priority,universal_action,next_analysis_route,universal_reason,missing_pct_train,missing_pct_test,missing_gap_pct,n_unique_train,n_unique_test,constant_train,constant_test,missing_pct_combined,n_unique_combined,dominant_share_pct,issue_reasons
SK_ID_CURR,id,id,P0_exclude_non_feature,exclude_from_model; keep for tracking,exclude_from_model_tracking_only,identifier column; not a predictive feature,0.0,0.0,0.0,307511,48744.0,False,False,0.0,356255,0.000280697814767512,high_unique_pct
TARGET,target,target,P0_exclude_non_feature,exclude_from_features; use only as target,exclude_from_features_target_analysis_only,target column; absent from test by design,0.0,,,2,,False,False,0.0,2,91.92711805431351,train_test_presence_issue
NAME_CONTRACT_TYPE,categorical_binary,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,91.65822234073909,
CODE_GENDER,categorical_nominal,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,3,2.0,False,False,0.0,3,65.99935439502603,
FLAG_OWN_CAR,categorical_binary,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,66.02995045683569,
FLAG_OWN_REALTY,categorical_binary,feature,P3_normal_type_specific_eda,route_to_categorical_nominal_eda,categorical_nominal_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2,2.0,False,False,0.0,2,69.32393931313244,
CNT_CHILDREN,discrete_count_numeric,feature,P3_normal_type_specific_eda,route_to_discrete_count_eda,discrete_count_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,15,11.0,False,False,0.0,16,70.19017276950498,
AMT_INCOME_TOTAL,continuous_amount_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,2548,606.0,False,False,0.0,2741,11.59618812367546,
AMT_CREDIT,continuous_amount_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,0.0,0.0,0.0,5603,2937.0,False,False,0.0,6480,3.319813055255365,
AMT_ANNUITY,continuous_amount_numeric,feature,P3_normal_type_specific_eda,route_to_continuous_numeric_eda,continuous_numeric_eda,no universal-level issue; continue type-specific EDA,0.003902299429939092,0.04923682914820286,0.04533452971826377,13672,7491.0,False,False,0.01010512133163043,14166,1.810500905250453,
