feature,feature_category,role,universal_priority,universal_action,next_analysis_route,universal_reason,missing_pct_train,missing_pct_test,missing_gap_pct,n_unique_train,n_unique_test,constant_train,constant_test,missing_pct_combined,n_unique_combined,dominant_share_pct,issue_reasons
SK_ID_CURR,id,id,P0_exclude_non_feature,exclude_from_model; keep for tracking,exclude_from_model_tracking_only,identifier column; not a predictive feature,0.0,0.0,0.0,307511,48744.0,False,False,0.0,356255,0.000280697814767512,high_unique_pct
TARGET,target,target,P0_exclude_non_feature,exclude_from_features; use only as target,exclude_from_features_target_analysis_only,target column; absent from test by design,0.0,,,2,,False,False,0.0,2,91.92711805431351,train_test_presence_issue
FLAG_DOCUMENT_10,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.99803511529663,constant_test; near_constant
FLAG_DOCUMENT_12,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.99943860437045,constant_test; near_constant
FLAG_DOCUMENT_13,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.69572356879202,constant_test; near_constant
FLAG_DOCUMENT_14,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.74652987326493,constant_test; near_constant
FLAG_DOCUMENT_15,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.89558041290648,constant_test; near_constant
FLAG_DOCUMENT_16,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.14302957151479,constant_test; near_constant
FLAG_DOCUMENT_17,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.97698277918906,constant_test; near_constant
FLAG_DOCUMENT_19,binary_flag,feature,P1_stability_review,route_to_binary_flag_eda; also stability_review,binary_flag_eda,constant in test; near-constant combined distribution,0.0,0.0,0.0,2,1.0,False,True,0.0,2,99.94863229989754,constant_test; near_constant
