feature,feature_category,numeric_family,source_group,priority_level,priority_score,keep_decision,primary_numeric_route,suggested_routes,feature_engineering_decision,missing_pct_train,missing_gap_pct,zero_pct,negative_pct,positive_pct,abs_skew,iqr_outlier_pct,n_unique_train,temporal_review_reasons,modeling_note
AMT_ANNUITY,continuous_amount_numeric,continuous,other,low,0,keep_for_now,continuous_keep_raw_candidate,scaling=standard_scaling_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",0.003902299429939092,0.04533452971826377,0.0,0.0,100.0,1.579777359962463,2.440333139294762,13672,,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
AMT_CREDIT,continuous_amount_numeric,continuous,other,low,0,keep_for_now,continuous_keep_raw_candidate,scaling=standard_scaling_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",0.0,0.0,0.0,0.0,100.0,1.23477840423584,2.13390740493836,5603,,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
AMT_GOODS_PRICE,continuous_amount_numeric,continuous,other,low,0,keep_for_now,continuous_keep_raw_candidate,scaling=standard_scaling_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",0.09040327012692229,0.09040327012692229,0.0,0.0,100.0,1.349000215530396,4.79375587908851,1002,,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
AMT_INCOME_TOTAL,continuous_amount_numeric,continuous,other,medium,3,keep_with_standard_numeric_review,continuous_transform_review,transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",0.0,0.0,0.0,0.0,100.0,391.5596541041876,4.564064374932929,2548,extreme_skew; top_5pct_tail_gap; transform_review_candidate; tail_review_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_annuity_amount_max,continuous_amount_numeric,continuous,bureau,critical,12,keep_but_review_before_final_FE,continuous_transform_review,missing=missing_flag_review; train_test_stability_review; transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",80.05079493091304,44.42794904218828,26.67818602679881,0.0,73.32181397320119,153.2779693603516,5.429856877384019,19214,extreme_missing; train_test_missing_gap; unstable_sparse_feature; extreme_skew; top_5pct_tail_gap; high_coefficient_of_variation; high_missing; missing_gap_gt_20; missing_indicator_candidate; stability_review_candidate; transform_review_candidate; tail_review_candidate; unstable_spread_review,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_annuity_amount_mean,continuous_amount_numeric,continuous,bureau,critical,12,keep_but_review_before_final_FE,continuous_transform_review,missing=missing_flag_review; train_test_stability_review; transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",80.05079493091304,44.42794904218828,26.67818602679881,0.0,73.32181397320119,146.6300659179688,5.614057966289571,26828,extreme_missing; train_test_missing_gap; unstable_sparse_feature; extreme_skew; top_5pct_tail_gap; high_coefficient_of_variation; high_missing; missing_gap_gt_20; missing_indicator_candidate; stability_review_candidate; transform_review_candidate; tail_review_candidate; unstable_spread_review,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_annuity_amount_sum,continuous_amount_numeric,continuous,bureau,medium,4,keep_with_standard_numeric_review,continuous_transform_review,transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",29.38463989906052,0.5010849999960207,79.28620769053649,0.0,20.7137923094635,250.3334503173828,0.0,25173,high_zero; extreme_skew; top_5pct_tail_gap; high_coefficient_of_variation; zero_pattern_review; transform_review_candidate; tail_review_candidate; unstable_spread_review,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_credit_amount_max,continuous_amount_numeric,continuous,bureau,medium,3,keep_with_standard_numeric_review,continuous_transform_review,transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",29.38496509067968,0.4973071225194978,1.417459900805438,0.0,98.58254009919456,14.87399005889893,9.92452187207862,44479,extreme_skew; top_5pct_tail_gap; transform_review_candidate; tail_review_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_credit_amount_mean,continuous_amount_numeric,continuous,bureau,medium,3,keep_with_standard_numeric_review,continuous_transform_review,transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",29.38496509067968,0.4973071225194978,1.417459900805438,0.0,98.58254009919456,14.62420082092285,9.66156878456728,99456,extreme_skew; top_5pct_tail_gap; transform_review_candidate; tail_review_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_active_credit_amount_sum,continuous_amount_numeric,continuous,bureau,medium,3,keep_with_standard_numeric_review,continuous_transform_review,transform=log1p_review; scaling=standard_scaling_review; tail=extreme_tail_review,"Review missingness, skew/tail behavior, and scaling/transform need; keep raw until model pipeline comparison.",29.38463989906052,0.5010849999960207,1.417913884411697,0.0,98.58208611558831,27.11630058288574,8.174533732443013,95909,extreme_skew; top_5pct_tail_gap; transform_review_candidate; tail_review_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
