feature,feature_category,numeric_family,source_group,priority_level,priority_score,keep_decision,primary_numeric_route,suggested_routes,feature_engineering_decision,missing_pct_train,missing_gap_pct,zero_pct,negative_pct,positive_pct,abs_skew,iqr_outlier_pct,n_unique_train,temporal_review_reasons,modeling_note
bureau_recent_12m_overdue_days_max,overdue_delay_numeric,overdue_delay,bureau,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,50.64826949279863,1.520202524270132,99.2929718901965,0.0,0.7070281098035082,27.71477890014648,0.0,142,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_recent_12m_overdue_days_mean,overdue_delay_numeric,overdue_delay,bureau,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,50.64826949279863,1.520202524270132,99.2929718901965,0.0,0.7070281098035082,34.05260848999023,0.0,292,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
bureau_recent_12m_overdue_days_sum,overdue_delay_numeric,overdue_delay,bureau,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,50.64826949279863,1.520202524270132,99.2929718901965,0.0,0.7070281098035082,29.08465766906738,0.0,148,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,98.66290777285542,0.0,1.337092227144583,13.39743900299072,0.0,276,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_def,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,99.67665842011392,0.0,0.3233415798860825,107.6689071655273,0.0,24,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_def_max,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,99.67665842011392,0.0,0.3233415798860825,107.6689071655273,0.0,24,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_def_mean,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,99.67665842011392,0.0,0.3233415798860825,111.4719696044922,0.0,26,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_def_min,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,99.68011046545078,0.0,0.3198895345492204,115.6592330932617,0.0,23,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_def_sum,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,99.67665842011392,0.0,0.3233415798860825,107.6689071655273,0.0,24,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
cc_latest_dpd_max,overdue_delay_numeric,overdue_delay,credit_card,critical,17,keep_but_review_before_final_FE,delay_severity_flag_review,missing=missing_flag_review; zero=zero_flag_review; zero_vs_delay_split_review; transform=log1p_review; binning=delay_severity_bin_review; special=credit_risk_delay_review,Preserve credit-risk signal; review late/early/severe delay flags and delay severity bins.,71.73922233676193,5.90342716197118,98.66290777285542,0.0,1.337092227144583,13.39743900299072,0.0,276,high_missing; almost_all_zero; extreme_skew; has_late_delay_signal; severe_delay_signal; extreme_delay_signal; rare_severe_delay_signal; missing_indicator_candidate; rare_event_candidate; transform_review_candidate; had_delay_flag_candidate; severe_delay_flag_candidate; extreme_delay_flag_candidate,No final drop decision from numeric EDA alone; validate with target analysis and CV model performance.
